Title of your event,Short description,Long description,start date,start time,end date,end time,Venue,Address,Event URL,Event type
DappCon,"This years edition will focus on Ethereum core development, Universal Basic Income and of course Dapps.",,9/12/2022,8:00:00 AM,9/14/2022,8:00:00 PM,Radialsystem,"Holzmarktstraße 33, 10243 Berlin",https://www.dappcon.io/,conference
DuneCon,A day of Wizards and the wonders of blockchain data,"We’ll have a series of activities throughout the day, from hackathons & talks to training sessions and fun events.

Then we’ll wrap things up by around 18:30 before heading over to an evening venue for more socializing and merriment into the night!

This is first and foremost a Wizard event. We want to say thank you and give everybody a great day while getting to know our community better. But DuneCon is also open to prospective Wizards, partners, and industry guests.

The day is going to be a lively combination of learning, networking, socializing, and celebrating - we're going to make it a day to remember.",9/15/2022,8:00:00 AM,9/15/2022,6:30:00 PM,Funkhaus,"Nalepastraße 18, 12459 Berlin",https://www.dunecon.com/,conference
ETHBerlin³,"ETHBerlin, to the power of three","ETHBerlin is known as the hackathon extravaganza, a cultural festival, an educational event, a platform for hacktivism, and a community initiative to push the decentralized ecosystem forward. ETHBerlin³ is the third edition, and we've come a long way since we hosted our first hackathon in 2018. With ETHBerlin³, we aim to go back to the roots and remind our community what it is all about: We want to invite you to hack the system, now, more than ever.",9/16/2022,4:00:00 PM,9/16/2022,24:00:00,Factory Görlitzer Park,"Lohmühlenstraße 65, 12435 Berlin",https://ethberlin.ooo/,hackathon
ETHBerlin³,"ETHBerlin, to the power of three","ETHBerlin is known as the hackathon extravaganza, a cultural festival, an educational event, a platform for hacktivism, and a community initiative to push the decentralized ecosystem forward. ETHBerlin³ is the third edition, and we've come a long way since we hosted our first hackathon in 2018. With ETHBerlin³, we aim to go back to the roots and remind our community what it is all about: We want to invite you to hack the system, now, more than ever.",9/17/2022,12:00:00 AM,9/18/2022,12:00:00 AM,Factory Görlitzer Park,"Lohmühlenstraße 65, 12435 Berlin",https://ethberlin.ooo/,hackathon
ETHBerlin³,"ETHBerlin, to the power of three","ETHBerlin is known as the hackathon extravaganza, a cultural festival, an educational event, a platform for hacktivism, and a community initiative to push the decentralized ecosystem forward. ETHBerlin³ is the third edition, and we've come a long way since we hosted our first hackathon in 2018. With ETHBerlin³, we aim to go back to the roots and remind our community what it is all about: We want to invite you to hack the system, now, more than ever.",9/18/2022,12:00:00 AM,9/18/2022,6:00:00 PM,Factory Görlitzer Park,"Lohmühlenstraße 65, 12435 Berlin",https://ethberlin.ooo/,hackathon
Borderless Berlin,There are no borders on the blockchain and our conference wants to focus on this great feature of the technology.,"Borderless is a movement to shape the future of our world with digital services for everyone. There are no borders on the blockchain and our conference wants to focus on this great feature of the technology: as citizens of different countries we all have the ability to contribute to a better world by building services that stay.
Join our movement!",9/15/2022,10:00:00 AM,9/15/2022,11:30:00 PM,Weekend Club,"Alexanderstraße 7, 10178 Berlin",https://borderless.berlin/,conference
CASA Gathering Berlin,Chain Agnostic Standards Alliance Gathering,We will have our second in-person CASA gathering at c-base in Berlin in the context of Berlin Blockchainweek 2022,9/15/2022,11:00:00 AM,9/15/2022,4:00:00 PM,c-base,"c-base Raumstation, Rungestrasse 20, (2nd backyard) · Berlin",https://github.com/ChainAgnostic/Gatherings/blob/main/2022-09-15-BLN-blockchainweek.berlin/README.md,event/meetup
ETHBerlin³ After Party!,The official ETHBerlin³ After Party 🎉,,9/18/2022,9:00:00 PM,9/19/2022,6:00:00 AM,TBD,,https://ethberlin.ooo,drinks/party
Re:Generate,A day of workshops and participatory learning experiences on regenerative finance + blockchain for impact and public goods.,,9/15/2022,10:00:00 AM,9/15/2022,6:00:00 PM,Full Node,"Skalitzer Str. 85, 10997 Berlin",https://www.eventbrite.com/e/regenerate-tickets-393010935287,conference
Regens Unite Berlin,A 2-day gathering to unite regens and explore together how we can move from sustainability to regeneration.,"Regens Unite is a fresh way of gathering a widely sourced group of people who are working on regenerative solutions for themselves, for communities, and for our planet. Its focus is on connecting meaningfully with each other to learn and grow resilience. In Berlin, the 2-day event will bring together regenerative thinkers and doers in DAOs, ReFi, DeSci, Platform Coops, Activism, and Art to co-create and share projects, knowledge, food, kindness, and hope.",9/16/2022,10:00:00 AM,9/17/2022,8:00:00 PM,Moos Space,"Moosdorfstraße 7-9, 12435 Berlin",https://regensunite.berlin,conference
